time_difference,公告日期,证券代码,证券简称,违规年度
4.0,2021,600289,ST 信通,2017.0
2.0,2022,300526,中潜股份,2020.0
13.0,2021,758,中色股份,2008.0
2.0,2020,600290,*ST 华仪,2018.0
3.0,2021,300157,恒泰艾普,2018.0
12.0,2021,758,中色股份,2009.0
4.0,2021,600290,ST 华仪,2017.0
2.0,2021,300157,恒泰艾普,2019.0
11.0,2021,758,中色股份,2010.0
3.0,2021,600290,ST 华仪,2018.0
10.0,2021,758,中色股份,2011.0
4.0,2022,600291,退市西水,2018.0
2.0,2022,600078,ST 澄星,2020.0
9.0,2021,758,中色股份,2012.0
3.0,2022,600291,退市西水,2019.0
8.0,2021,758,中色股份,2013.0
3.0,2020,600300,维维股份,2017.0
2.0,2020,300077,国民技术,2018.0
7.0,2021,758,中色股份,2014.0
2.0,2020,600300,维维股份,2018.0
1.0,2018,403,振兴生化,2017.0
6.0,2021,758,中色股份,2015.0
2.0,2023,600302,标准股份,2021.0
5.0,2021,758,中色股份,2016.0
4.0,2023,600310,桂东电力,2019.0
2.0,2020,300313,天山生物,2018.0
4.0,2021,758,中色股份,2017.0
1.0,2020,300111,向日葵,2019.0
3.0,2021,758,中色股份,2018.0
1.0,2022,600311,*ST 荣华,2021.0
2.0,2020,600093,易见股份,2018.0
2.0,2021,758,中色股份,2019.0
2.0,2017,600318,新力金融,2015.0
1.0,2020,600093,易见股份,2019.0
0.0,2017,759,中百集团,2017.0
3.0,2022,600319,亚星化学,2019.0
1.0,2021,603300,华铁应急,2020.0
5.0,2021,760,斯太退,2016.0
2.0,2022,600319,亚星化学,2020.0
4.0,2021,2089,ST 新海,2017.0
0.0,2021,762,西藏矿业,2021.0
1.0,2022,600319,亚星化学,2021.0
3.0,2021,2089,ST 新海,2018.0
2.0,2019,766,通化金马,2017.0
7.0,2023,600343,航天动力,2016.0
2.0,2021,2089,ST 新海,2019.0
1.0,2019,766,通化金马,2018.0
6.0,2023,600343,航天动力,2017.0
3.0,2020,300234,开尔新材,2017.0
1.0,2018,767,漳泽电力,2017.0
5.0,2023,600343,航天动力,2018.0
2.0,2020,300234,开尔新材,2018.0
0.0,2018,767,漳泽电力,2018.0
4.0,2023,600343,航天动力,2019.0
1.0,2020,782,美达股份,2019.0
3.0,2023,600343,航天动力,2020.0
0.0,2020,782,美达股份,2020.0
